code,csv_file,file_size_kb,name,industry_name
sh.600132,sh_600132.csv,13.5380859375,重庆啤酒,未知行业
sh.600133,sh_600133.csv,13.2470703125,东湖高新,未知行业
sh.600135,sh_600135.csv,13.1533203125,乐凯胶片,未知行业
sh.600136,sh_600136.csv,12.4853515625,ST明诚,未知行业
sh.600137,sh_600137.csv,13.3505859375,浪莎股份,未知行业
sh.600138,sh_600138.csv,13.087890625,中青旅,未知行业
sh.600141,sh_600141.csv,13.7138671875,兴发集团,未知行业
sh.600143,sh_600143.csv,13.7841796875,金发科技,未知行业
sh.600148,sh_600148.csv,13.3232421875,长春一东,未知行业
sh.600149,sh_600149.csv,12.7958984375,廊坊发展,未知行业
sh.600150,sh_600150.csv,13.8974609375,中国船舶,未知行业
sh.600151,sh_600151.csv,13.57421875,航天机电,未知行业
sh.600152,sh_600152.csv,13.09375,维科技术,未知行业
sh.600153,sh_600153.csv,13.2060546875,建发股份,未知行业
sh.600155,sh_600155.csv,13.0341796875,华创云信,未知行业
sh.600156,sh_600156.csv,12.873046875,华升股份,未知行业
sh.600157,sh_600157.csv,13.048828125,永泰能源,未知行业
sh.600158,sh_600158.csv,13.2392578125,中体产业,未知行业
sh.600159,sh_600159.csv,12.8251953125,大龙地产,未知行业
sh.600160,sh_600160.csv,13.701171875,巨化股份,未知行业
sh.600161,sh_600161.csv,13.6357421875,天坛生物,未知行业
sh.600162,sh_600162.csv,12.865234375,香江控股,未知行业
sh.600163,sh_600163.csv,12.9873046875,中闽能源,未知行业
sh.600165,sh_600165.csv,12.671875,ST宁科,未知行业
sh.600166,sh_600166.csv,13.04296875,福田汽车,未知行业
sh.600167,sh_600167.csv,12.931640625,联美控股,未知行业
sh.600168,sh_600168.csv,12.8037109375,武汉控股,未知行业
sh.600169,sh_600169.csv,12.7119140625,ST太重,未知行业
sh.600170,sh_600170.csv,13.0732421875,上海建工,未知行业
sh.600171,sh_600171.csv,13.63671875,上海贝岭,未知行业
sh.600172,sh_600172.csv,13.271484375,黄河旋风,未知行业
sh.600173,sh_600173.csv,12.9521484375,卧龙新能,未知行业
sh.600176,sh_600176.csv,13.716796875,中国巨石,未知行业
sh.600177,sh_600177.csv,12.962890625,雅戈尔,未知行业
sh.600178,sh_600178.csv,13.431640625,东安动力,未知行业
sh.600179,sh_600179.csv,12.9482421875,安通控股,未知行业
sh.600180,sh_600180.csv,12.826171875,瑞茂通,未知行业
sh.600182,sh_600182.csv,13.3916015625,S佳通,未知行业
sh.600183,sh_600183.csv,13.732421875,生益科技,未知行业
sh.600184,sh_600184.csv,13.6728515625,光电股份,未知行业
sh.600185,sh_600185.csv,13.03515625,珠免集团,未知行业
sh.600186,sh_600186.csv,13.0888671875,莲花控股,未知行业
sh.600187,sh_600187.csv,12.697265625,国中水务,未知行业
