排名,concept_name,concept_code,latest_price,pct_amount,pct_chg,total_mv,turn,up_count,down_count,leader_stock,leader_pct_chg,fetch_time
371,食品安全,BK0614,7722.24,-5.4,-0.07,446710672000,1.95,20,30,远 望 谷,4.42,2026-04-22 14:49:30
374,粤港自贸,BK0677,3462.74,-2.92,-0.08,1095319120000,1.34,28,45,阳普医疗,8.31,2026-04-22 14:49:30
373,通用航空,BK0625,6218.92,-5.09,-0.08,1050911680000,1.46,12,23,博云新材,6.79,2026-04-22 14:49:30
375,宠物经济,BK0993,966.57,-0.88,-0.09,440740096000,1.97,26,42,觅睿科技,6.57,2026-04-22 14:49:30
376,地摊经济,BK0924,2058.77,-2.09,-0.1,511332768000,2.03,13,17,福田汽车,3.55,2026-04-22 14:49:30
378,电商概念,BK0665,2378.73,-2.68,-0.11,6294594560000,1.94,124,218,金 螳 螂,10.02,2026-04-22 14:49:30
377,中盘价值,BK1670,1013.51,-1.1,-0.11,4511881472000,0.94,51,71,衢州发展,7.18,2026-04-22 14:49:30
379,养老概念,BK0653,2878.47,-3.26,-0.11,2988702928000,1.61,49,73,京投发展,10.04,2026-04-22 14:49:30
380,生物质能发电,BK1098,1186.64,-1.44,-0.12,269555056000,2.8,16,12,绿色动力,4.62,2026-04-22 14:49:30
381,土壤修复,BK1070,1071.29,-1.28,-0.12,260741290000,2.78,14,21,绿茵生态,3.94,2026-04-22 14:49:30
382,海洋经济,BK0623,3706.01,-4.81,-0.13,2528177888000,2.58,45,63,冰轮环境,10.01,2026-04-22 14:49:30
383,广电概念,BK0904,1759.94,-2.35,-0.13,262771454000,1.99,12,15,创维数字,3.72,2026-04-22 14:49:30
384,婴童概念,BK0664,1844.75,-2.53,-0.14,1347268480000,1.74,60,93,中胤时尚,9.66,2026-04-22 14:49:30
385,装配建筑,BK0945,1167.55,-1.66,-0.14,1415642736000,1.1,28,58,金 螳 螂,10.02,2026-04-22 14:49:30
386,IPO受益,BK0697,3476.05,-4.79,-0.14,2492839424000,1.15,20,30,腾龙股份,4.92,2026-04-22 14:49:30
387,雄安新区,BK0813,1065.82,-1.58,-0.15,2636490880000,1.55,55,84,中持股份,9.97,2026-04-22 14:49:30
389,冷链物流,BK0852,2271.45,-3.41,-0.15,1844811744000,1.95,38,76,冰轮环境,10.01,2026-04-22 14:49:30
390,稀土永磁,BK0578,3694.77,-5.58,-0.15,1468480816000,2.55,22,29,有研新材,7.88,2026-04-22 14:49:30
388,上证50_,BK0611,2087.67,-3.06,-0.15,28208583424000,0.26,15,33,中微公司,3.67,2026-04-22 14:49:30
391,啤酒概念,BK1073,1346.1,-2.16,-0.16,276767968000,2.12,8,11,嘉美包装,3.26,2026-04-22 14:49:30
392,滨海新区,BK0566,11472.81,-18.33,-0.16,233620153000,2.37,7,14,津药药业,3.8,2026-04-22 14:49:30
394,生物疫苗,BK0548,28289.62,-49.4,-0.17,989543952000,1.47,29,37,康泰生物,6.35,2026-04-22 14:49:30
393,快手概念,BK0972,1800.95,-2.99,-0.17,383553408000,5.59,10,22,每日互动,4.59,2026-04-22 14:49:30
397,破净股,BK1112,1531.84,-2.74,-0.18,21580933376000,0.45,78,188,金 螳 螂,10.02,2026-04-22 14:49:30
395,钙钛矿电池,BK1094,1200.67,-2.18,-0.18,880840496000,3.06,21,21,快可电子,10.4,2026-04-22 14:49:30
396,刀片电池,BK0951,3580.61,-6.31,-0.18,1160587648000,3.29,5,7,和胜股份,3.15,2026-04-22 14:49:30
398,味蕾经济,BK1653,973.24,-1.81,-0.19,3898745104000,1.51,28,62,华康股份,7.29,2026-04-22 14:49:30
